hanja,meaning,reading,source
煙(烟),연기,연,material
燕,제비,연,material
宴,잔치,연,material
演,펼,연,material
沿,물따라갈,연,material
鉛(铅),납,연,material
延,늘일,연,material
硏,갈,연,material
軟(软),연할,연,material
緣(缘),인연,연,material
悅(悦),기쁠,열,material
閱(阅),볼,열,material
熱(热),더울,열,material;textbook
炎,불꽃,염,material;textbook
染,물들,염,material
鹽(盐),소금,염,material
葉(叶),잎,엽,material;textbook
永,길,영,material
泳,헤엄칠,영,material
詠(咏),읊을,영,material
英,꽃부리,영,material;textbook
榮(荣),영화로울,영,material
營(营),경영할,영,material;textbook
映,비칠,영,material
影,그림자,영,material;textbook
迎,맞을,영,material
豫,미리,예,material
銳(锐),날카로울,예,material
譽(誉),기릴,예,material
藝(艺),재주,예,material
五,다섯,오,material;textbook
吾,나,오,material;textbook
悟,깨달을,오,material
午,낮,오,material;textbook
汚,더러울,오,material
傲,거만할,오,material
烏(乌),까마귀,오,material
嗚(呜),울,오,material
娛(娱),즐길,오,material
誤(误),그르칠,오,material;textbook
玉,구슬,옥,material;textbook
屋,집,옥,material;textbook
獄(狱),옥,옥,material
溫(温),따뜻할,온,material
翁,늙은이,옹,material
擁(拥),낄,옹,material
瓦,기와,와,material
臥(卧),누울,와,material
完,온전할,완,material
緩(缓),느릴,완,material
曰,가로,왈,material
王,임금,왕,material;textbook
往,갈,왕,material;textbook
外,바깥,외,material;textbook
畏,두려울,외,material
要,구할,요,material
腰,허리,요,material
搖(摇),흔들,요,material
謠(谣),노래,요,material
遙(遥),멀,요,material
浴,목욕할,욕,material
欲,하고자할,욕,material;textbook
慾(欲),욕심,욕,material;textbook
辱,욕될,욕,material
容,얼굴,용,material;textbook
勇,날랠,용,material;textbook
用,쓸,용,material;textbook
庸,떳떳할,용,material
雨,비,우,material;textbook
牛,소,우,material
宇,집,우,material
又,또,우,material;textbook
友,벗,우,material;textbook
右,오른,우,material;textbook
尤,더욱,우,material
偶,짝,우,material
遇,만날,우,material;textbook
愚,어리석을,우,material;textbook
憂(忧),근심,우,material;textbook
